message_id,gyro_xout_scaled,gyro_yout_scaled,gyro_zout_scaled,accel_xout_scaled,accel_yout_scaled,accel_zout_scaled,x_rotation,y_rotation,measured_timestamp
1,-5.0,-1.0,-2.0,-0.124267578125,-0.748046875,1.070068359375,-34.7760291831638,5.43701204732755,1488093469.54891
2,-6.0,-1.0,-2.0,-0.1083984375,-0.765380859375,1.0615234375,-35.6515345609716,4.73502586571167,1488093469.60632
3,-6.0,-1.0,-2.0,-0.094482421875,-0.764892578125,1.048095703125,-36.0113536238526,4.1647873293619,1488093469.65899
4,-5.0,-1.0,-2.0,-0.108642578125,-0.75537109375,1.069091796875,-35.1046784589578,4.74439695463291,1488093469.85235
5,-6.0,-1.0,-2.0,-0.111083984375,-0.75390625,1.056884765625,-35.3526884001068,4.89067268074729,1488093469.90348
6,-6.0,-1.0,-2.0,-0.109619140625,-0.750732421875,1.047119140625,-35.4909098067814,4.86298385952215,1488093469.95579
7,-5.0,-1.0,-2.0,-0.11279296875,-0.738525390625,1.058349609375,-34.7559719527571,4.99490349960796,1488093470.01007
8,-6.0,-1.0,-2.0,-0.113525390625,-0.76416015625,1.04638671875,-35.9805594199359,5.00725843802057,1488093470.06397
9,-6.0,-1.0,-2.0,-0.1201171875,-0.765625,1.051513671875,-35.8824427495736,5.27612682511681,1488093470.11499
10,-6.0,-1.0,-2.0,-0.1123046875,-0.75927734375,1.072021484375,-35.1613309935534,4.88628908920739,1488093470.16841
11,-6.0,-1.0,-2.0,-0.123046875,-0.75341796875,1.05029296875,-35.4686573282286,5.43788754527442,1488093470.22126
12,-6.0,-1.0,-2.0,-0.10595703125,-0.73486328125,1.0595703125,-34.6098068205504,4.69752504420917,1488093470.27877
13,-5.0,-1.0,-2.0,-0.11474609375,-0.74951171875,1.048583984375,-35.3954302345378,5.08737311134594,1488093470.33238
14,-5.0,-1.0,-2.0,-0.112548828125,-0.75390625,1.062744140625,-35.2010866353715,4.93677992947701,1488093470.38609
15,-5.0,-1.0,-2.0,-0.10546875,-0.748046875,1.060546875,-35.0641920997077,4.6459980164505,1488093470.43898
16,-5.0,-1.0,-2.0,-0.111083984375,-0.75244140625,1.0498046875,-35.4799426486283,4.91558386250101,1488093470.49221
17,-6.0,-1.0,-2.0,-0.115966796875,-0.7509765625,1.0517578125,-35.364059132087,5.12761728925173,1488093470.5495
18,-5.0,-1.0,-2.0,-0.111083984375,-0.764892578125,1.06005859375,-35.6642617946986,4.85722533241133,1488093470.60199
19,-6.0,-1.0,-2.0,-0.09423828125,-0.738037109375,1.059814453125,-34.7469754830488,4.17345023946519,1488093470.65602
20,-5.0,-1.0,-2.0,-0.094482421875,-0.746826171875,1.063232421875,-34.9787121637246,4.15907117850025,1488093470.70982
21,-5.0,-1.0,-2.0,-0.108642578125,-0.75732421875,1.034423828125,-36.0589985784419,4.84386295418819,1488093470.77227
22,-6.0,-1.0,-2.0,-0.124267578125,-0.751220703125,1.05859375,-35.1762070457174,5.46845975686168,1488093470.8314
23,-6.0,-1.0,-2.0,-0.11376953125,-0.747314453125,1.05712890625,-35.1022212270281,5.0222377287596,1488093470.89198
24,-6.0,-1.0,-2.0,-0.107421875,-0.74755859375,1.0771484375,-34.6285945291496,4.68378338217306,1488093470.94979
25,-5.0,-1.0,-2.0,-0.124267578125,-0.755126953125,1.046875,-35.6135154176924,5.49901921216075,1488093471.00614
26,-6.0,-1.0,-2.0,-0.112060546875,-0.753662109375,1.057861328125,-35.3166354782256,4.93098652552775,1488093471.20046
27,-5.0,-1.0,-2.0,-0.113037109375,-0.752685546875,1.052734375,-35.408835132095,4.99187041756379,1488093471.25456
28,-6.0,-2.0,-2.0,-0.123291015625,-0.75244140625,1.03271484375,-35.884523502631,5.51140998392253,1488093471.4349
29,-5.0,-1.0,-2.0,-0.09912109375,-0.75244140625,1.05419921875,-35.3984418755596,4.37634143170982,1488093471.4881
